"incentive_id","title","company_id","company_name","score","rank"
"14","Funções transversais no âmbito da coordenação técnica global do Portugal 2030 | 2026 -2027","4930","BWS PORTUGAL, UNIPESSOAL, LDA","0.3980122567407939",2
"14","Funções transversais no âmbito da coordenação técnica global do Portugal 2030 | 2026 -2027","233185","PPD GLOBAL LTD - SUCURSAL EM PORTUGAL","0.39754854753324176",3
"14","Funções transversais no âmbito da coordenação técnica global do Portugal 2030 | 2026 -2027","166703","S2 AQUA - LABORATÓRIO COLABORATIVO, ASSOCIAÇÃO PARA UMA AQUACULTURA SUSTENTÁVEL E INTELIGENTE","0.3960341513156891",4
"14","Funções transversais no âmbito da coordenação técnica global do Portugal 2030 | 2026 -2027","216453","FUNDAÇÃO GALP","0.39408158308997165",5
"15","Promoção da Eficiência Energética no Ensino Superior","216555","SOLVASTO - PROJETOS E INVESTIMENTO, LDA","0.46317327461561264",1
"15","Promoção da Eficiência Energética no Ensino Superior","143080","APEEF, SOCIEDADE LDA","0.4416557207723171",2
"15","Promoção da Eficiência Energética no Ensino Superior","120500","GREENVOLT INTERNATIONAL POWER, S.A.","0.4411281513831588",3
"15","Promoção da Eficiência Energética no Ensino Superior","229099","GREENVOLT - ENERGIAS RENOVÁVEIS, S.A.","0.43950124445550254",4
"15","Promoção da Eficiência Energética no Ensino Superior","230127","GREENVOLT NEXT PORTUGAL, LDA","0.43437317404906983",5
"16","Instituições de segurança social","5720","FUNDAÇÃO MANUEL BRANDÃO","0.3877354629197448",1
"16","Instituições de segurança social","186323","INSTITUTO DE GESTÃO DE FUNDOS DE CAPITALIZAÇÃO DA SEGURANÇA SOCIAL, I.P.","0.38421868477948473",2
"16","Instituições de segurança social","222488","COFRE DE PREVIDÊNCIA DOS FUNCIONÁRIOS E AGENTES DO ESTADO","0.3840695321559934",3
"16","Instituições de segurança social","242338","FUNDAÇÃO LUIZ BERNARDO DE ALMEIDA","0.37890328420361474",4
"16","Instituições de segurança social","89389","LE CHEQUE DEJEUNER PORTUGAL, S.A.","0.37665222952806415",5
"17","Derrama municipal - Possibilidade atribuída aos minicípios de lançarem anualmente uma derrama a uma taxa inferior à máxima legalmente prevista","229875","MUNICÍPIO DE PORTIMÃO","0.34761251218281786",1
"17","Derrama municipal - Possibilidade atribuída aos minicípios de lançarem anualmente uma derrama a uma taxa inferior à máxima legalmente prevista","241146","DESMOR, E.M., S.A.","0.33755388557268556",2
"17","Derrama municipal - Possibilidade atribuída aos minicípios de lançarem anualmente uma derrama a uma taxa inferior à máxima legalmente prevista","236471","ESPAÇO MUNICIPAL - RENOVAÇÃO URBANA E GESTÃO DO PATRIMÓNIO, E.M., S.A.","0.3295877453930536",3
"17","Derrama municipal - Possibilidade atribuída aos minicípios de lançarem anualmente uma derrama a uma taxa inferior à máxima legalmente prevista","6907","EMPRESA METROPOLITANA DE ESTACIONAMENTO DA MAIA, E.M.","0.32075939538358195",4
